Text,Label
Вызвать такси на семь человек до Одинцово,ORDER_TAXI
Самый страшный ужастик по книге Стивена Кинга,PLAY_MOVIE
Анекдот с черным юмором,READ_JOKE
Сколько я буду ехать до заправки?,NAVIGATE
Кто такой Оксимирон?,ODQA
Будет дождливо в субботу?,WEATHER
Покажи погоду в Крыму на выходные,WEATHER
Скажи прогноз на ближайшие пять дней,WEATHER
Хочу пожарить курочку,COOKING
Найди Звездные Войны в hd,PLAY_MOVIE
Хочется что-то приготовить,COOKING
Президентские дебаты на первом канале,PLAY_MOVIE
Я закрыла сессию!,LEGEND
Поставь самый популярный альбом Земфиры,PLAY_MUSIC
Закажи столик на десять человек на вечер пятницы,BOOK_RESTAURANT
Я бы хотел заказать вечеринку в ресторане,BOOK_RESTAURANT
Подай машину к дому через десять минут,ORDER_TAXI
Добавь напоминание на завтра,REMINDER
Хочу сварить кашу,COOKING
Какой у тебя рост? . А вес?,LEGEND
Покажи дорогу до улицы Херсонской дом три  . А до метро Белорусская?,NAVIGATE
Будет ли холодно пятнадцать июня?,WEATHER
Включи интерстеллар на английском,PLAY_MOVIE
Прочитай новости от РБК ,READ_NEWS
Пять процентов от семи сотен,CALCULATOR
Закажите стол на двадцать января в баре недалеко от университета,BOOK_RESTAURANT
Будет вьюга в субботу?,WEATHER
Знаешь английский?,LEGEND
Скажи мне прогноз погоды на следующую неделю,WEATHER
Как зовут жену Трампа?,ODQA
Закажи сити мобил до Шереметьево .,ORDER_TAXI
Запусти самый популярный хит одна тысяча девятьсот девяносто четыре-го . А теперь одна тысяча девятьсот девяносто семь-го,PLAY_MUSIC
Добавь в список покупок корм для котов и вечером напомни,REMINDER
Дождь будет?,WEATHER
Что в списке покупке,SHOPPING_LIST
Отправь Пете одна тысяча пятьсот рублей по номеру карты,P2P_TRANSFER
Скучала?,LEGEND
Ты умеешь петь? ,LEGEND
"Нужно купить сливки для кофе, напомни",REMINDER
Будет ли холодно начиная с четверга?,WEATHER
Какой баланс на моей карте,CHECK_ACCOUNT 
Спой песню?,LEGEND
Ты умеешь петь?  . А танцевать?,LEGEND
Я могу называть тебя другим именем?,LEGEND
Будет ли снег завтра?,WEATHER
Поставь назад в будущее в высоком качестве ,PLAY_MOVIE
Возвращение джедая смотреть в одна тысяча восемьдесят,PLAY_MOVIE
Курс белорусского рубля к доллару,CURRENCY
Как доехать до Шоссе Энтузиастов,NAVIGATE
Закажи такси для шесть человек на ближайшее время,ORDER_TAXI
Какая сумма счета за квартиру?,COMMUNAL_PAYMENTS
Включи последний альбом фараона,PLAY_MUSIC
Давай запустим дискотеку восемьдесятх,PLAY_MUSIC
Маршрут до улицы Шоссейной дом один,NAVIGATE
Что приготовить из индейки?,COOKING
Покажи выступление Queen на Live Aid,PLAY_MOVIE
Блин ты че тупишь?,FAIL_FEEDBACK
Включи последнее радио ,PLAY_RADIO
Какие бонусы начисляются на карту мир?,SBER_PRODUCTS
Как звали первого президента США?,ODQA
Оплати счет за воду,COMMUNAL_PAYMENTS
Какой фильм глянуть в самолете,PLAY_MOVIE
Надевать ли завтра шапку?,WEATHER
Открой настройки,HARD_COMMAND
Нужно заказать такси на завтра утро в аэропорт,ORDER_TAXI
Мне нужно забронировать место в ресторане Стейк Хаус,BOOK_RESTAURANT
Какой фильм можно посмотреть с девушкой,PLAY_MOVIE
Готовить дома,COOKING
Что значит “перманентно”?,ODQA
Какие есть новые сериалы . Самый популярный из них,PLAY_MOVIE
"Привет, Сири",LEGEND
Сколько тебе лет?,LEGEND
В какой стране родился Билл Гейтс?,ODQA
Сколько процентов семь от восмиста,CALCULATOR
Что вышло из новых фильмов на телевизоре,PLAY_MOVIE
Путин это кто?,ODQA
Поехать до работы на такси,ORDER_TAXI
Какие вклады есть в Сбере,SBER_PRODUCTS
Погода во Владимире,WEATHER
Найди радиостанцию с французскими песнями,PLAY_RADIO
Включи новостное радио,PLAY_RADIO
Какая столица Франции?,ODQA
Скажи сколько денег у меня есть ,CHECK_ACCOUNT 
Ты лучше Алисы?,LEGEND
Кто первый летал в космос? . А когда?,ODQA
Включи музыку избранное,PLAY_MUSIC
Отключу,LEGEND
Последний император России,ODQA
Какие рецепты ты знаешь?,COOKING
Закажите бронирование на десять в ресторане на Октябрьской в семь часов вечера,BOOK_RESTAURANT
Где я нахожусь,NAVIGATE
Какие проценты по ипотеке в Сбербанке нынче,SBER_PRODUCTS
Что мне сегодня делать?  . А завтра?,LEGEND
